gvkey	datadate	fyear	tic	at
001004	20090531	2008	AIR	1377.5110
001004	20100531	2009	AIR	1501.0420
001004	20110531	2010	AIR	1703.7270
001004	20120531	2011	AIR	2195.6530
001004	20130531	2012	AIR	2136.9000
001004	20140531	2013	AIR	2199.5000
001013	20081031	2008	ADCT	1921.0000
001013	20090930	2009	ADCT	1343.6000
001013	20100930	2010	ADCT	1474.5000
001021	20080630	2008	IWKS	21.4010
001045	20081231	2008	AAL	25175.0000
001045	20091231	2009	AAL	25438.0000
001045	20101231	2010	AAL	25088.0000
001045	20111231	2011	AAL	23848.0000
001045	20121231	2012	AAL	23510.0000
001045	20131231	2013	AAL	42278.0000
001050	20081231	2008	CECE	120.0170
001050	20091231	2009	CECE	77.5150
001050	20101231	2010	CECE	74.7910
001050	20111231	2011	CECE	79.3450
001050	20121231	2012	CECE	94.1040
001050	20131231	2013	CECE	348.5360
001062	20081130	2008	ASA	355.6640
001062	20081130	2008	ASA	355.6640
001062	20091130	2009	ASA	581.8960
001062	20091130	2009	ASA	581.8960
001062	20101130	2010	ASA	671.5800
001062	20101130	2010	ASA	671.5800
001062	20111130	2011	ASA	632.7150
001062	20111130	2011	ASA	632.7150
001062	20121130	2012	ASA	468.0130
001062	20121130	2012	ASA	468.0130
001062	20131130	2013	ASA	252.1420
001062	20131130	2013	ASA	252.1420
001072	20090331	2008	AVX	1872.5290
001072	20100331	2009	AVX	2051.4920
001072	20110331	2010	AVX	2319.4820
001072	20120331	2011	AVX	2468.0120
001072	20130331	2012	AVX	2601.9950
001072	20140331	2013	AVX	2384.9880
001075	20081231	2008	PNW	11620.0930
001075	20091231	2009	PNW	11808.1550
001075	20101231	2010	PNW	12362.7030
001075	20111231	2011	PNW	13111.0180
001075	20121231	2012	PNW	13379.6150
001075	20131231	2013	PNW	13508.6860
001076	20081231	2008	AAN	1233.2700
001076	20091231	2009	AAN	1321.4560
001076	20101231	2010	AAN	1502.0720
001076	20111231	2011	AAN	1735.1490
001076	20121231	2012	AAN	1812.9290
001076	20131231	2013	AAN	1827.1760
001078	20081231	2008	ABT	42419.2040
001078	20091231	2009	ABT	52416.6230
001078	20101231	2010	ABT	59462.2660
001078	20111231	2011	ABT	60276.8930
001078	20121231	2012	ABT	67234.9440
001078	20131231	2013	ABT	42953.0000
001082	20090430	2008	SERV.1	43.6450
001082	20100430	2009	SERV.1	40.9520
001082	20110430	2010	SERV.1	26.2280
001084	20081231	2008	WDDD	0.1740
001084	20091231	2009	WDDD	0.0040
001084	20101231	2010	WDDD	0.4020
001084	20111231	2011	WDDD	0.2790
001084	20121231	2012	WDDD	0.2370
001084	20131231	2013	WDDD	0.3280
001094	20080630	2008	ACET	222.2430
001094	20090630	2009	ACET	205.4640
001094	20100630	2010	ACET	231.8510
001094	20110630	2011	ACET	311.6650
001094	20120630	2012	ACET	299.2800
001094	20130630	2013	ACET	323.4300
001096	20081231	2008	MRCBF	2110.5810
001096	20091231	2009	MRCBF	2051.7210
001096	20101231	2010	MRCBF	2057.9110
001096	20111231	2011	MRCBF	3467.2100
001096	20121231	2012	MRCBF	4386.1820
001096	20131231	2013	MRCBF	5452.9950
001097	20081231	2008	ACMTA	110.2640
001097	20091231	2009	ACMTA	105.9450
001097	20101231	2010	ACMTA	101.8630
001097	20111231	2011	ACMTA	97.6810
001097	20121231	2012	ACMTA	85.7690
001097	20131231	2013	ACMTA	77.6540
001104	20081231	2008	ACU	45.4240
001104	20091231	2009	ACU	42.3090
001104	20101231	2010	ACU	49.5810
001104	20111231	2011	ACU	55.2220
001104	20121231	2012	ACU	67.8280
001104	20131231	2013	ACU	68.0790
001109	20081231	2008	AHIX	5.9130
001117	20081231	2008	RWC	30.6220
001117	20091231	2009	RWC	31.4210
001117	20101231	2010	RWC	34.7920
001117	20111231	2011	RWC	31.8470
001117	20121231	2012	RWC	33.9600
001117	20131231	2013	RWC	34.0230
001119	20081231	2008	ADX	
001119	20091231	2009	ADX	
001119	20101231	2010	ADX	
001119	20111231	2011	ADX	
001119	20121231	2012	ADX	
001119	20131231	2013	ADX	
001121	20081231	2008	AE	210.9260
001121	20091231	2009	AE	249.4010
001121	20101231	2010	AE	301.3050
001121	20111231	2011	AE	378.8400
001121	20121231	2012	AE	419.5010
001121	20131231	2013	AE	448.0820
001161	20081231	2008	AMD	7675.0000
001161	20091231	2009	AMD	9078.0000
001161	20101231	2010	AMD	4964.0000
001161	20111231	2011	AMD	4954.0000
001161	20121231	2012	AMD	4000.0000
001161	20131231	2013	AMD	4337.0000
001166	20081231	2008	ASMIY	1068.6980
001166	20091231	2009	ASMIY	1220.6560
001166	20101231	2010	ASMIY	1611.0120
001166	20111231	2011	ASMIY	2052.6150
001166	20121231	2012	ASMIY	1977.2490
001166	20131231	2013	ASMIY	2137.4660
001173	20090131	2008	AIM	17.7610
001173	20100131	2009	AIM	21.4760
001173	20110131	2010	AIM	23.6780
001173	20120131	2011	AIM	23.0350
001173	20130131	2012	AIM	23.3240
001177	20081231	2008	AET	35852.5000
001177	20081231	2008	AET	35852.5000
001177	20091231	2009	AET	38550.4000
001177	20091231	2009	AET	38550.4000
001177	20101231	2010	AET	37739.4000
001177	20101231	2010	AET	37739.4000
001177	20111231	2011	AET	38593.1000
001177	20111231	2011	AET	38593.1000
001177	20121231	2012	AET	41494.5000
001177	20121231	2012	AET	41494.5000
001177	20131231	2013	AET	49871.8000
001177	20131231	2013	AET	49871.8000
