tic	at
AIR	1377.5110
AIR	1501.0420
AIR	1703.7270
AIR	2195.6530
AIR	2136.9000
AIR	2199.5000
ADCT	1921.0000
ADCT	1343.6000
ADCT	1474.5000
IWKS	21.4010
AAL	25175.0000
AAL	25438.0000
AAL	25088.0000
AAL	23848.0000
AAL	23510.0000
AAL	42278.0000
CECE	120.0170
CECE	77.5150
CECE	74.7910
CECE	79.3450
CECE	94.1040
CECE	348.5360
ASA	355.6640
ASA	355.6640
ASA	581.8960
ASA	581.8960
ASA	671.5800
ASA	671.5800
ASA	632.7150
ASA	632.7150
ASA	468.0130
ASA	468.0130
ASA	252.1420
ASA	252.1420
AVX	1872.5290
AVX	2051.4920
AVX	2319.4820
AVX	2468.0120
AVX	2601.9950
AVX	2384.9880
PNW	11620.0930
PNW	11808.1550
PNW	12362.7030
PNW	13111.0180
PNW	13379.6150
PNW	13508.6860
AAN	1233.2700
AAN	1321.4560
AAN	1502.0720
AAN	1735.1490
AAN	1812.9290
AAN	1827.1760
ABT	42419.2040
ABT	52416.6230
ABT	59462.2660
ABT	60276.8930
ABT	67234.9440
ABT	42953.0000
SERV.1	43.6450
SERV.1	40.9520
SERV.1	26.2280
WDDD	0.1740
WDDD	0.0040
WDDD	0.4020
WDDD	0.2790
WDDD	0.2370
WDDD	0.3280
ACET	222.2430
ACET	205.4640
ACET	231.8510
ACET	311.6650
ACET	299.2800
ACET	323.4300
MRCBF	2110.5810
MRCBF	2051.7210
MRCBF	2057.9110
MRCBF	3467.2100
MRCBF	4386.1820
MRCBF	5452.9950
ACMTA	110.2640
ACMTA	105.9450
ACMTA	101.8630
ACMTA	97.6810
ACMTA	85.7690
ACMTA	77.6540
ACU	45.4240
ACU	42.3090
ACU	49.5810
ACU	55.2220
ACU	67.8280
ACU	68.0790
AHIX	5.9130
RWC	30.6220
RWC	31.4210
RWC	34.7920
RWC	31.8470
RWC	33.9600
RWC	34.0230
ADX
ADX
ADX
ADX
ADX
ADX
AE	210.9260
AE	249.4010
AE	301.3050
AE	378.8400
AE	419.5010
AE	448.0820
AMD	7675.0000
AMD	9078.0000
AMD	4964.0000
AMD	4954.0000
AMD	4000.0000
AMD	4337.0000
ASMIY	1068.6980
ASMIY	1220.6560
ASMIY	1611.0120
ASMIY	2052.6150
ASMIY	1977.2490
ASMIY	2137.4660
AIM	17.7610
AIM	21.4760
AIM	23.6780
AIM	23.0350
AIM	23.3240
AET	35852.5000
AET	35852.5000
AET	38550.4000
AET	38550.4000
AET	37739.4000
AET	37739.4000
AET	38593.1000
AET	38593.1000
AET	41494.5000
AET	41494.5000
AET	49871.8000
AET	49871.8000
AEM	3378.8240
AEM	4247.3570
AEM	5500.3510
AEM	5034.2620
AEM	5255.8420
AEM	4959.3590
APD	12571.3000
APD	13029.1000
APD	13505.9000
APD	14290.7000
APD	16941.8000
APD	17850.1000
AIRT	29.3410
AIRT	29.6040
AIRT	34.2210
AIRT	35.0830
AIRT	36.0550
AIRT	37.2210
EGN1	1126.5870
EGN1	1084.6660
EGN1	1167.5970
EGN1	1166.8000
EGN1	1182.8760
EGN1	1198.0750
SO1	16536.0060
SO1	17524.0930
SO1	17994.0000
SO1	18477.0000
SO1	18712.0000
SO1	19251.0000
ALAN	29.0970
ALAN	26.7190
ALAN	20.4960
ALAN	7.6160
ALAN	8.1080
ALAN	7.2170
ALK	4835.6000
ALK	4985.0000
ALK	5016.6000
ALK	5195.0000
ALK	5505.0000
ALK	5838.0000
ATRI	115.3530
ATRI	132.7490
ATRI	134.6520
ATRI	161.8950
ATRI	155.8100
ATRI	172.0660
ACV.1	1464.1900
ACV.1	1558.0140
ACV.1	1878.2750
IKN	2966.3340
MATX	2350.0000
MATX	2380.0000
MATX	2495.0000
MATX	2544.0000
MATX	1174.3000
MATX	1248.3000
ALX	1603.5680
ALX	1603.5680
ALX	1703.7690
ALX	1703.7690
ALX	1679.3000
ALX	1679.3000
ALX	1771.3070
ALX	1771.3070
ALX	1481.8100
ALX	1481.8100
ALX	1457.7240
ALX	1457.7240
ACEL	5.3200
ACEL	0.5570
ACEL	2.2420
ACEL	0.5220
ACEL	0.0800
AGMJF	706.0920
AGMJF	694.3060
AGMJF	741.4500
AGMJF	874.3970
AGMJF	883.7140
AGMJF	932.3540
0065A	3047.6000
0065A	2235.1000
0065A	1923.2000
0065A	1906.4000
0065A	1877.6000
0065A	1804.2000
ALCO	273.9320
ALCO	200.2350
ALCO	188.8170
ALCO	180.0350
ALCO	185.0830
ALCO	198.8400
ATPT	0.0000
ATPT	0.0000
ATPT	0.0000
Y	6181.8280
Y	6181.8280
Y	6192.7700
Y	6192.7700
Y	6431.6990
Y	6431.6990
Y	6478.0890
Y	6478.0890
Y	22807.9670
Y	22807.9670
Y	23361.0880
Y	23361.0880
AYE	10811.0480
AYE	11589.1000
AYE	12075.8000
HON	35490.0000
HON	36004.0000
HON	37834.0000
HON	39808.0000
HON	41853.0000
HON	45435.0000
ALY	1111.0580
ALY	1080.6200
ALY	1075.6560
SWKS	1236.0990
SWKS	1355.3260
SWKS	1564.0520
SWKS	1890.3890
SWKS	2136.6460
SWKS	2333.1000
APNI	46.9040
APNI	59.7780
APNI	66.7050
APNI	47.8990
APNI	47.9530
GYLD
GYLD
AA	37822.0000
AA	38472.0000
AA	39293.0000
AA	40120.0000
AA	40179.0000
AA	35742.0000
3AMBEQ	1.4960
3AMBEQ	1.0700
3AMBEQ	0.9760
3AMBEQ	0.9060
HES	28589.0000
HES	29465.0000
HES	35396.0000
HES	39136.0000
HES	43441.0000
HES	42754.0000
LCC	7214.0000
LCC	7454.0000
LCC	7819.0000
LCC	8335.0000
LCC	9396.0000
AMR1	22518.0000
AMR1	22964.0000
AMR1	22422.0000
AMR1	23589.0000
AMR1	23264.0000
AMR1	25612.0000
UHAL	3825.0730
UHAL	3762.4540
UHAL	4176.1540
UHAL	4654.0510
UHAL	5306.6010
UHAL	5998.9780
ABLT	295.0010
ABLT	277.6220
ABLT	123.2300
ABLT	120.4000
ABLT	131.8670
ABLT	119.8750
BEAM	12091.9000
BEAM	12370.6000
BEAM	12675.3000
BEAM	7491.8000
BEAM	8636.9000
BEAM	8584.7000
ABM	1549.9130
ABM	1521.1530
ABM	1548.6700
ABM	1879.5980
ABM	1869.2510
ABM	2119.2360
PRI	11161.1330
PRI	11161.1330
PRI	13227.7810
PRI	13227.7810
PRI	9884.3060
PRI	9884.3060
PRI	9998.5440
PRI	9998.5440
PRI	10337.8770
PRI	10337.8770
PRI	10329.9500
PRI	10329.9500
VBF
